muni_code,muni,muni_type,pref,pref_code,region,fukushima_exclusion_zone,coast,pv_output_2018,windspeed_2018,solarkw,sp,sp_10_49kw,sp_50_499kw,sp_500_1999kw,sp_2000kw_plus,land_price_commercial_2009,land_price_residential_2009,area_2010,population_2010,unemployment_2010,voter_turnout_2012,crime_rate_2008,income_taxable_per_capita_2010,financial_str_index_2010,ratio_revs_exp_2010,disaster_deaths_2011,disaster_damage_2011
01363,Assabu,town,Hokkaido,01,Hokkaido,0,0,1086,7.37,3923,8,4,0,4,0,21800,10100,46042,4409,5.5,57.6014306187934,7.257881606,1005725.10773418,17,3.3,0,0
01364,Otobe,town,Hokkaido,01,Hokkaido,0,0,1051,7.31,99,2,2,0,0,0,17200,11400,16256,4408,9.8,57.6014306187934,4.764065336,799366.379310345,15,3,0,0
01367,Okushiri,town,Hokkaido,01,Hokkaido,0,0,1051,8.56,0,0,0,0,0,0,26000,7700,14298,3033,4.9,57.6014306187934,2.96735905,1151594.13122321,14,1.8,0,0
01370,Imakane,town,Hokkaido,01,Hokkaido,0,0,1072,7.07,0,0,0,0,0,0,21800,14200,56814,6186,7.7,57.6014306187934,2.586485613,868107.985774329,19,1,0,0
01371,Setana,town,Hokkaido,01,Hokkaido,0,0,1023,7.7,1411.4,5,4,0,1,0,19900,9400,63867,9590,5.4,57.6014306187934,5.109489051,802781.543274244,15,3.2,0,0
01391,Shimamaki,village,Hokkaido,01,Hokkaido,0,0,986,9.13,0,0,0,0,0,0,0,4500,43726,1781,4.1,57.7747528805191,5.05334082,780366.086468276,10,1.7,0,0
01392,Suttsu,town,Hokkaido,01,Hokkaido,0,0,930,7.92,0,0,0,0,0,0,16500,7400,9537,3443,5.6,57.7747528805191,5.808887598,932589.892535579,15,1.5,0,0
01393,Kuromatsunai,town,Hokkaido,01,Hokkaido,0,0,1092,6.97,0,0,0,0,0,0,13800,4700,34547,3250,4.3,57.7747528805191,7.076923077,883780.923076923,14,7.8,0,0
01394,Rankoshi,town,Hokkaido,01,Hokkaido,0,0,1087,6.77,250,1,0,1,0,0,23200,7800,44968,5292,4.5,57.7747528805191,5.102040816,835983.560090703,17,7.4,0,0
01395,Niseko,town,Hokkaido,01,Hokkaido,0,0,1131,6.26,0,0,0,0,0,0,19500,10600,19713,4823,9.6,57.7747528805191,7.049554219,927654.571843251,25,3.7,0,0
01396,Makkari,village,Hokkaido,01,Hokkaido,0,0,1171,6.66,750,1,0,0,1,0,0,5600,11443,2189,1.9,57.7747528805191,3.197807218,1107042.48515304,14,3.1,0,0
01397,Rusutsu,village,Hokkaido,01,Hokkaido,0,0,1151,7.25,0,0,0,0,0,0,0,5400,11992,2034,1.9,57.7747528805191,7.374631268,1037158.30875123,25,7.7,0,0
01398,Kimobetsu,town,Hokkaido,01,Hokkaido,0,0,1208,6.84,0,0,0,0,0,0,18500,7800,18951,2490,3.9,57.7747528805191,12.85140562,834012.851405623,21,6.8,0,0
01399,Kyogoku,town,Hokkaido,01,Hokkaido,0,0,1124,7.27,0,0,0,0,0,0,14000,8300,23161,3811,2.5,57.7747528805191,4.19837313,929865.127263186,19,6.1,0,0
01400,Kutchan,town,Hokkaido,01,Hokkaido,0,0,1096,6.91,0,0,0,0,0,0,24000,20400,26124,15568,6.9,57.7747528805191,8.414696814,1178506.80883864,44,6.6,0,0
01401,Kyowa,town,Hokkaido,01,Hokkaido,0,0,1082,7.12,148.5,3,3,0,0,0,12600,9400,30496,6428,5.2,57.7747528805191,7.467330429,1159717.33042937,31,1.2,0,0
01402,Iwanai,town,Hokkaido,01,Hokkaido,0,0,953,7.72,2009.5,5,1,4,0,0,24200,12400,7063,14451,6.7,57.7747528805191,6.227942703,966879.177911563,29,6.9,0,0
01403,Tomari,village,Hokkaido,01,Hokkaido,0,0,1007,7.74,0,0,0,0,0,0,0,4700,8235,1883,3.7,57.7747528805191,11.6834838,1117890.60010621,147,0.1,0,0
01404,Kamoenai,village,Hokkaido,01,Hokkaido,0,0,956,8.2,0,0,0,0,0,0,0,4100,14771,1122,3.7,57.7747528805191,9.803921569,1003338.68092692,11,15.5,0,0
01405,Shakotan,town,Hokkaido,01,Hokkaido,0,0,927,9.31,500,1,0,0,1,0,16100,7400,23821,2516,5.8,57.7747528805191,10.73131955,663172.098569157,11,8.4,0,0
01406,Furubira,town,Hokkaido,01,Hokkaido,0,0,983,7.06,1000,1,0,0,1,0,13400,9100,18841,3611,5.5,57.7747528805191,5.538631958,720144.558294101,15,7.6,0,0
01407,Niki,town,Hokkaido,01,Hokkaido,0,0,1038,7.25,400,1,0,1,0,0,18500,8000,16793,3800,2.9,57.7747528805191,7.105263158,717592.105263158,15,0.8,0,0
01408,Yoichi,town,Hokkaido,01,Hokkaido,0,0,1064,6.66,23108.6,21,5,4,12,0,34500,15300,14060,21258,9.7,57.7747528805191,8.84372942,876296.641264465,34,4,0,0
01409,Akaigawa,village,Hokkaido,01,Hokkaido,0,0,1088,7.47,750,1,0,0,1,0,0,3400,28011,1262,2.6,57.7747528805191,17.43264659,868427.099841521,25,5.4,0,0
01423,Nanporo,town,Hokkaido,01,Hokkaido,0,0,1258,6.23,3122.7,45,43,2,0,0,15500,9000,8149,8778,5.7,NA,10.59466849,1034715.76668945,25,1.9,0,0
01424,Naie,town,Hokkaido,01,Hokkaido,0,0,1162,5.99,287.3,7,7,0,0,0,14400,9400,8805,6194,5.9,NA,9.202453988,894851.146270585,23,2.2,0,0
01425,Kamisunagawa,town,Hokkaido,01,Hokkaido,0,0,1133,6.5,0,0,0,0,0,0,5900,3000,3991,4086,22.7,NA,4.160548213,579190.895741557,12,2.9,0,0
01427,Yuni,town,Hokkaido,01,Hokkaido,0,0,1239,6.08,1114.9,20,19,1,0,0,11200,7300,13386,5896,4.6,NA,11.8724559,824756.784260516,20,1.4,0,0
01428,Naganuma,town,Hokkaido,01,Hokkaido,0,0,1251,6.06,16741.7,49,29,11,9,0,19400,13200,16836,11691,4.3,NA,11.88948764,1131662.30433667,25,0.8,0,0
01429,Kuriyama,town,Hokkaido,01,Hokkaido,0,0,1199,6.18,2161.8,23,21,1,1,0,22500,12300,20384,13340,5.2,NA,8.545727136,911880.509745127,29,2.3,0,0
01430,Tsukigata,town,Hokkaido,01,Hokkaido,0,0,1115,5.83,247.5,5,5,0,0,0,14200,7600,15105,4859,4,NA,6.174109899,707321.671125746,17,2.9,0,0
01431,Urausu,town,Hokkaido,01,Hokkaido,0,0,1138,6.39,243.4,5,5,0,0,0,6300,3300,10108,2206,3.6,NA,11.33272892,953239.347234814,18,2.2,0,0
01432,Shintotsukawa,town,Hokkaido,01,Hokkaido,0,0,1166,5.86,8049.5,9,1,0,8,0,11100,10000,49562,7249,3.5,NA,6.345702856,937744.37853497,19,5.8,0,0
01433,Moseushi,town,Hokkaido,01,Hokkaido,0,0,1180,5.55,38.5,1,1,0,0,0,14500,7800,4855,3462,7.2,NA,9.243212016,909816.580011554,16,2.1,0,0
01434,Chippubetsu,town,Hokkaido,01,Hokkaido,0,0,1170,5.49,1500,2,0,0,2,0,9900,6000,4726,2730,5.3,NA,8.058608059,881024.908424909,15,3.1,0,0
01436,Uryu,town,Hokkaido,01,Hokkaido,0,0,1160,5.67,0,0,0,0,0,0,6000,3700,19091,3049,3.4,NA,5.903574943,890957.035093473,15,4.2,0,0
01437,Hokuryu,town,Hokkaido,01,Hokkaido,0,0,1149,5.45,0,0,0,0,0,0,4500,3400,15882,2193,3.7,NA,9.119927041,790955.768353853,13,2.2,0,0
01438,Numata,town,Hokkaido,01,Hokkaido,0,0,1146,5.53,0,0,0,0,0,0,16300,8300,28321,3612,4.1,NA,9.966777409,986675.802879291,15,2.7,0,0
01452,Takasu,town,Hokkaido,01,Hokkaido,0,0,1085,5.24,3840,2,0,0,2,0,17500,12500,13944,7345,5.7,55.0080682870477,4.901293397,991177.944179714,29,3.7,0,0
01453,Higashikagura,town,Hokkaido,01,Hokkaido,0,0,1188,5.18,697.6,5,4,0,1,0,23500,17800,6864,9292,3.9,55.0080682870477,6.780025829,1105616.33663366,36,7.5,0,0
01454,Tohma,town,Hokkaido,01,Hokkaido,0,0,1167,5.43,38049.5,20,1,0,0,19,17000,9500,20495,7087,5.6,55.0080682870477,4.233102864,846420.91152815,21,2.6,0,0
01455,Pippu,town,Hokkaido,01,Hokkaido,0,0,1096,5.42,171.3,4,4,0,0,0,10800,8000,8729,4042,4.5,55.0080682870477,3.463631865,812151.65759525,17,6,0,0
01456,Aibetsu,town,Hokkaido,01,Hokkaido,0,0,1167,6.12,0,0,0,0,0,0,10500,6000,24971,3328,4.1,55.0080682870477,3.605769231,889005.709134615,14,5.1,0,0
01457,Kamikawa,town,Hokkaido,01,Hokkaido,0,0,918,6.99,9287.5,15,6,0,9,0,9500,4100,104924,4532,6.2,55.0080682870477,4.854368932,809663.283318623,20,4.9,0,0
01458,Higashikawa,town,Hokkaido,01,Hokkaido,0,0,975,5.27,11612.7,21,8,0,13,0,29300,14000,24706,7859,4.8,55.0080682870477,4.707978114,925457.564575646,32,4.7,0,0
01459,Biei,town,Hokkaido,01,Hokkaido,0,0,1136,5.38,432.6,4,3,1,0,0,22800,13500,67716,10956,5.1,55.0080682870477,6.024096386,928462.486308872,21,2.1,0,0
01460,Kamifurano,town,Hokkaido,01,Hokkaido,0,0,1198,5.51,3310.4,14,10,2,2,0,21000,12700,23718,11545,4.4,55.0080682870477,4.157644002,1077090.25552187,28,4.3,0,0
01461,Nakafurano,town,Hokkaido,01,Hokkaido,0,0,1149,6.19,3568.6,7,3,1,3,0,14000,8600,10870,5477,2.5,55.0080682870477,3.834215812,1017094.39474165,20,2.8,0,0
01462,Minamifurano,town,Hokkaido,01,Hokkaido,0,0,1173,8.11,20.7,1,1,0,0,0,6200,2600,66552,2814,2.5,55.0080682870477,3.198294243,943862.117981521,13,5.5,0,0
01463,Shimukappu,village,Hokkaido,01,Hokkaido,0,0,1150,6.64,0,0,0,0,0,0,0,3600,57131,1394,4.1,55.0080682870477,10.76040172,1009880.91822095,28,6.8,0,0
01464,Wassamu,town,Hokkaido,01,Hokkaido,0,0,1151,6.17,98.6,2,2,0,0,0,14500,5400,22483,3832,3.8,55.0080682870477,5.741127349,805004.958246347,16,3.4,0,0
01465,Kembuchi,town,Hokkaido,01,Hokkaido,0,0,1164,6.02,142.6,3,3,0,0,0,7100,3700,13120,3565,2.3,55.0080682870477,5.329593268,837355.960729313,15,4.4,0,0
01468,Shimokawa,town,Hokkaido,01,Hokkaido,0,0,1154,7.21,48,1,1,0,0,0,4900,2900,64420,3775,3.9,55.0080682870477,3.708609272,903820.397350993,14,4.3,0,0
01469,Bifuka,town,Hokkaido,01,Hokkaido,0,0,1161,5.76,0,0,0,0,0,0,10200,5100,67214,5178,4.5,55.0080682870477,0.965623793,914164.928543839,15,8.5,0,0
01470,Otoineppu,village,Hokkaido,01,Hokkaido,0,0,1105,7.62,0,0,0,0,0,0,0,1700,27564,995,2.4,55.0080682870477,0,991748.743718593,11,3.7,0,0
