geoid,cbsa,metro_name,hri,interval,year
36119006801,35614,"New York-Jersey City-White Plains, NY-NJ",1.00897511394,1,2000
39035187105,17460,"Cleveland-Elyria, OH",1.00900354869,1,2000
40109001021,36420,"Oklahoma City, OK",1.00902464837,1,2000
39095000076,45780,"Toledo, OH",1.01011423674,1,2000
42091202302,33874,"Montgomery County-Bucks County-Chester County, PA",1.01026011615,1,2000
20173000010,48620,"Wichita, KS",1.01032980513,1,2000
42079002127,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1.01040273901,1,2000
36119002202,35614,"New York-Jersey City-White Plains, NY-NJ",1.01046862422,1,2000
06037002621,31084,"Los Angeles-Long Beach-Glendale, CA",1.0106928688,1,2000
31055000044,36540,"Omaha-Council Bluffs, NE-IA",1.01143432346,1,2000
06075000331,41884,"San Francisco-Redwood City-South San Francisco, CA",1.01163542499,1,2000
34013000194,35084,"Newark, NJ-PA",1.01165857142,1,2000
40143000017,46140,"Tulsa, OK",1.01188456245,1,2000
06037001943,31084,"Los Angeles-Long Beach-Glendale, CA",1.01238251653,1,2000
42071013503,29540,"Lancaster, PA",1.01239821874,1,2000
36001001902,10580,"Albany-Schenectady-Troy, NY",1.01262793754,1,2000
24510270902,12580,"Baltimore-Columbia-Towson, MD",1.01331573633,1,2000
42091002043,33874,"Montgomery County-Bucks County-Chester County, PA",1.01352688142,1,2000
06037004641,31084,"Los Angeles-Long Beach-Glendale, CA",1.01355823023,1,2000
42101000224,37964,"Philadelphia, PA",1.01436852614,1,2000
36119002201,35614,"New York-Jersey City-White Plains, NY-NJ",1.01464560092,1,2000
42003004330,38300,"Pittsburgh, PA",1.01498619432,1,2000
29189002164,41180,"St. Louis, MO-IL",1.01562703212,1,2000
48453001606,12420,"Austin-Round Rock, TX",1.01619308198,1,2000
39035183606,17460,"Cleveland-Elyria, OH",1.01677889861,1,2000
48439001043,23104,"Fort Worth-Arlington, TX",1.01742426772,1,2000
42101000116,37964,"Philadelphia, PA",1.01743589269,1,2000
42079002123,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1.01762661634,1,2000
42101000270,37964,"Philadelphia, PA",1.01767886944,1,2000
42091002025,33874,"Montgomery County-Bucks County-Chester County, PA",1.01903563935,1,2000
36061010601,35614,"New York-Jersey City-White Plains, NY-NJ",1.01931584362,1,2000
08031004303,19740,"Denver-Aurora-Lakewood, CO",1.01945403903,1,2000
42101000208,37964,"Philadelphia, PA",1.02022351565,1,2000
19153000010,19780,"Des Moines-West Des Moines, IA",1.02087593063,1,2000
42091002046,33874,"Montgomery County-Bucks County-Chester County, PA",1.02175034963,1,2000
27053011704,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.02241177822,1,2000
24510270901,12580,"Baltimore-Columbia-Towson, MD",1.02321556513,1,2000
31055000037,36540,"Omaha-Council Bluffs, NE-IA",1.02396631015,1,2000
13121000099,12060,"Atlanta-Sandy Springs-Roswell, GA",1.02488868957,1,2000
37081010404,24660,"Greensboro-High Point, NC",1.02675267012,1,2000
06037481902,31084,"Los Angeles-Long Beach-Glendale, CA",1.02677446586,1,2000
34007006020,15804,"Camden, NJ",1.0270081383,1,2000
21111007501,31140,"Louisville/Jefferson County, KY-IN",1.02800135717,1,2000
27123000348,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.03004367712,1,2000
36061000273,35614,"New York-Jersey City-White Plains, NY-NJ",1.03129486077,1,2000
13051000022,42340,"Savannah, GA",1.03234897936,1,2000
26163005422,19804,"Detroit-Dearborn-Livonia, MI",1.03258930637,1,2000
17167000021,44100,"Springfield, IL",1.03344921901,1,2000
36055007802,40380,"Rochester, NY",1.03346254015,1,2000
48029001801,41700,"San Antonio-New Braunfels, TX",1.03560434357,1,2000
39095001304,45780,"Toledo, OH",1.03689987324,1,2000
21037052302,17140,"Cincinnati, OH-KY-IN",1.03694097703,1,2000
26163005511,19804,"Detroit-Dearborn-Livonia, MI",1.03816272998,1,2000
48201004107,26420,"Houston-The Woodlands-Sugar Land, TX",1.03886304299,1,2000
36005000323,35614,"New York-Jersey City-White Plains, NY-NJ",1.03907586065,1,2000
36029008102,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1.04045263572,1,2000
39049000065,18140,"Columbus, OH",1.04091187376,1,2000
06073008311,41740,"San Diego-Carlsbad, CA",1.04223605613,1,2000
27053011703,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.04544006618,1,2000
40109001017,36420,"Oklahoma City, OK",1.04551533146,1,2000
06073002002,41740,"San Diego-Carlsbad, CA",1.0456897823,1,2000
24005490601,12580,"Baltimore-Columbia-Towson, MD",1.04626457523,1,2000
34013000195,35084,"Newark, NJ-PA",1.04660845267,1,2000
39153507202,10420,"Akron, OH",1.04750529624,1,2000
26163005748,19804,"Detroit-Dearborn-Livonia, MI",1.04760409184,1,2000
06037430701,31084,"Los Angeles-Long Beach-Glendale, CA",1.04815677679,1,2000
34013000175,35084,"Newark, NJ-PA",1.0482068892,1,2000
36119000044,35614,"New York-Jersey City-White Plains, NY-NJ",1.05109015301,1,2000
24510270903,12580,"Baltimore-Columbia-Towson, MD",1.05287716271,1,2000
09001000303,14860,"Bridgeport-Stamford-Norwalk, CT",1.05391994517,1,2000
49035001037,41620,"Salt Lake City, UT",1.05409252858,1,2000
47065000030,16860,"Chattanooga, TN-GA",1.0551538338,1,2000
06001004212,36084,"Oakland-Hayward-Berkeley, CA",1.05624102697,1,2000
27053000107,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.05774222057,1,2000
26163005012,19804,"Detroit-Dearborn-Livonia, MI",1.05778745012,1,2000
34013000148,35084,"Newark, NJ-PA",1.0601083408,1,2000
06037004638,31084,"Los Angeles-Long Beach-Glendale, CA",1.06033227034,1,2000
42003001402,38300,"Pittsburgh, PA",1.06101300902,1,2000
39113000102,19380,"Dayton, OH",1.06328417394,1,2000
44007000034,39300,"Providence-Warwick, RI-MA",1.06356154623,1,2000
36029009402,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1.06399246756,1,2000
34013000162,35084,"Newark, NJ-PA",1.06440316836,1,2000
21111000131,31140,"Louisville/Jefferson County, KY-IN",1.06506975841,1,2000
18141000016,43780,"South Bend-Mishawaka, IN-MI",1.06595165962,1,2000
06073008303,41740,"San Diego-Carlsbad, CA",1.07010168989,1,2000
48113000001,19124,"Dallas-Plano-Irving, TX",1.07015382392,1,2000
36085000039,35614,"New York-Jersey City-White Plains, NY-NJ",1.07052108323,1,2000
42003473402,38300,"Pittsburgh, PA",1.0712724294,1,2000
13051000003,42340,"Savannah, GA",1.0712958775799999,1,2000
40143004302,46140,"Tulsa, OK",1.07188410065,1,2000
06037004601,31084,"Los Angeles-Long Beach-Glendale, CA",1.07584645152,1,2000
24510000902,12580,"Baltimore-Columbia-Towson, MD",1.07766096837,1,2000
06037002657,31084,"Los Angeles-Long Beach-Glendale, CA",1.07993850915,1,2000
26065000040,29620,"Lansing-East Lansing, MI",1.08018513623,1,2000
31109000023,30700,"Lincoln, NE",1.0809369368,1,2000
48245000053,13140,"Beaumont-Port Arthur, TX",1.08153253473,1,2000
09003004970,25540,"Hartford-West Hartford-East Hartford, CT",1.08174625325,1,2000
48453001402,12420,"Austin-Round Rock, TX",1.08190708886,1,2000
42091202401,33874,"Montgomery County-Bucks County-Chester County, PA",1.0823613996,1,2000
42079002009,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1.08270957635,1,2000
48113000198,19124,"Dallas-Plano-Irving, TX",1.08364872428,1,2000
36029009401,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1.08374497492,1,2000
36029009401,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1.08374497492,1,2000
55079000351,33340,"Milwaukee-Waukesha-West Allis, WI",1.0837794762,1,2000
42003473601,38300,"Pittsburgh, PA",1.0839930475,1,2000
42003001401,38300,"Pittsburgh, PA",1.08599729318,1,2000
51710000017,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1.08734012895,1,2000
18089000104,23844,"Gary, IN",1.08773541238,1,2000
39153520201,10420,"Akron, OH",1.08804541472,1,2000
41051004601,38900,"Portland-Vancouver-Hillsboro, OR-WA",1.08823110348,1,2000
48113000201,19124,"Dallas-Plano-Irving, TX",1.08914685094,1,2000
34013000180,35084,"Newark, NJ-PA",1.08934156317,1,2000
09003005038,25540,"Hartford-West Hartford-East Hartford, CT",1.08942246281,1,2000
