year,cbsa,county,geoid,hri,interval
2000,25540,09003,09003005038,1.08942246281,1
2000,25540,09003,09003004964,1.08953054035,1
2000,16740,37119,37119000028,1.09053978362,1
2000,35614,36081,36081000757,1.09092888591,1
2000,12580,24510,24510271102,1.0922010183,1
2000,42540,42079,42079002006,1.09439513252,1
2000,19124,48113,48113000202,1.09503584379,1
2000,26900,18097,18097003218,1.09695230185,1
2000,28140,29095,29095000084,1.09707681645,1
2000,41884,06075,06075000428,1.09781088221,1
2000,35084,34013,34013000190,1.09829054804,1
2000,11100,48381,48381000204,1.09873635755,1
2000,31084,06037,06037002651,1.10169105721,1
2000,41180,29189,29189002163,1.10171020559,1
2000,45780,39095,39095004504,1.10192655179,1
2000,38900,41051,41051000063,1.10235554261,1
2000,33874,42091,42091002018,1.10322822355,1
2000,36540,31055,31055000055,1.10758933243,1
2000,36540,31055,31055000064,1.10830758382,1
2000,19780,19153,19153000028,1.11077421119,1
2000,12420,48453,48453000005,1.11203896687,1
2000,47940,19013,19013000014,1.11284190156,1
2000,33460,27053,27053001116,1.11662935542,1
2000,35084,34039,34039000334,1.11781668546,1
2000,33460,27123,27123000349,1.11802837974,1
2000,35084,34013,34013000149,1.11844683965,1
2000,24660,37081,37081000105,1.12301772596,1
2000,35084,34039,34039000348,1.12330311582,1
2000,35614,36005,36005000333,1.12545044051,1
2000,33124,12086,12086004102,1.12551247799,1
2000,13140,48245,48245000062,1.12689720043,1
2000,30780,05119,05119000016,1.12692929797,1
2000,19740,08031,08031003901,1.12828484149,1
2000,11100,48375,48375000104,1.13118675233,1
2000,37964,42045,42045004044,1.13141655831,1
2000,14860,09001,09001000351,1.13146707426,1
2000,40380,36055,36055000129,1.1355202432,1
2000,37964,42101,42101000234,1.13684684775,1
2000,10420,39153,39153507203,1.13738636298,1
2000,35614,36119,36119000047,1.14206001061,1
2000,36084,06001,06001004261,1.14274973293,1
2000,31140,21111,21111000087,1.14282296773,1
2000,33460,27123,27123000362,1.14334083947,1
2000,19740,08031,08031004302,1.14339149315,1
2000,16974,17031,17031007201,1.14547896486,1
2000,31084,06037,06037005719,1.14597872257,1
2000,19804,26163,26163005384,1.14736767875,1
2000,19780,19153,19153003002,1.15195112288,1
2000,19804,26163,26163005503,1.15457646787,1
2000,17460,39035,39035140201,1.15572600606,1
2000,31084,06037,06037007031,1.15800127358,1
2000,16974,17031,17031008007,1.15959490174,1
2000,26900,18097,18097003223,1.16125189708,1
2000,14454,25025,25025120102,1.16127602766,1
2000,12580,24510,24510001201,1.16217154712,1
2000,46540,36065,36065021701,1.16746610471,1
2000,26900,18097,18097003222,1.1691902169,1
2000,19780,19153,19153000031,1.17072421437,1
2000,19804,26163,26163005501,1.17211025454,1
2000,41180,29189,29189002158,1.17253269946,1
2000,37964,42101,42101000273,1.17346689163,1
2000,13140,48245,48245000054,1.17370878262,1
2000,43340,22017,22017000216,1.17551644661,1
2000,33124,12086,12086003908,1.17701091605,1
2000,18140,39049,39049000220,1.17826290964,1
2000,37964,42101,42101000256,1.17961336301,1
2000,33460,27123,27123000364,1.18286134832,1
2000,19124,48113,48113000003,1.18344989227,1
2000,31084,06037,06037480201,1.18376551965,1
2000,33460,27053,27053000106,1.18654753561,1
2000,17140,21117,21117000649,1.18764415119,1
2000,33874,42091,42091002045,1.18796226817,1
